Model,Metric,Score
Random Forest,MAE,3.270872991026009e-05
Random Forest,MSE,2.9913580946347185e-09
Random Forest,R-squared,0.9983132728006553
XGBoost,MAE,7.23831e-05
XGBoost,MSE,8.62685e-09
XGBoost,R-squared,0.9951356064919981
LSTM,MAE,0.0003825947
LSTM,MSE,2.0313917e-07
LSTM,R-squared,0.8854565954791948
Random Forest,MAE,3.558733640343898e-05
Random Forest,MSE,2.9187563339082096e-09
Random Forest,R-squared,0.9981594031531097
XGBoost,MAE,7.216465084286012e-05
XGBoost,MSE,9.071729935855116e-09
XGBoost,R-squared,0.994279276648826
LSTM,MAE,0.00038577309391128403
LSTM,MSE,1.98014834802743e-07
LSTM,R-squared,0.8751298707804692
Random Forest,Best Parameters,"{'bootstrap': True, 'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': 20, 'max_features': 1.0, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}"
XGBoost,Best Parameters,"{'objective': 'reg:squarederror', 'base_score': None, 'booster': None, 'callbacks': None, 'colsample_bylevel': None, 'colsample_bynode': None, 'colsample_bytree': None, 'early_stopping_rounds': None, 'enable_categorical': False, 'eval_metric': None, 'feature_types': None, 'gamma': None, 'gpu_id': None, 'grow_policy': None, 'importance_type': None, 'interaction_constraints': None, 'learning_rate': 0.1, 'max_bin': None, 'max_cat_threshold': None, 'max_cat_to_onehot': None, 'max_delta_step': None, 'max_depth': 3, 'max_leaves': None, 'min_child_weight': None, 'missing': nan, 'monotone_constraints': None, 'n_estimators': 100, 'n_jobs': None, 'num_parallel_tree': None, 'predictor': None, 'random_state': None, 'reg_alpha': None, 'reg_lambda': None, 'sampling_method': None, 'scale_pos_weight': None, 'subsample': None, 'tree_method': None, 'validate_parameters': None, 'verbosity': None}"
LSTM,Best Parameters,{'Learning Rate': 0.01}
